size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
10,9.31,Boss Audio Systems,CX104DVC,265-370,4+4,600,94,3.76,36,1.42,1,2.93,34,8.98,20,35,2200
10,9.25,Pioneer Electronics,TS-W254R,267-2500,4,250,93,4.7,33.5,2.4,0.62,3.3,43,5.83,22,20,220
10,9.25,Pioneer Electronics,TS-W260S4,267-2501,4,350,93,8.1,45,0.47,1.15,0.88,41,3.8,25,20,250
10,9.25,Pioneer Electronics,TS-W260D4,267-2502,4+4,350,93,12.2,47,0.41,1.15,0.77,43,3.32,26,20,250
10,9.375,Pioneer Electronics,TS-W2502D2,267-2503,2+2,800,89,11,34.7,0.22,0.66,0.45,42,0.6,22,20,150
10,9.375,Pioneer Electronics,TS-W2502D4,267-2504,4+4,800,89,9.8,36,0.24,0.74,0.79,39,0.83,21,20,150
12,11.125,Pioneer Electronics,TS-W304R,267-2505,4,300,95,4.7,28.6,2.75,0.7,7.11,33,8.52,18,20,220
12,11.125,Pioneer Electronics,TS-W310S4,267-2506,4,400,95,9.9,35,1.25,0.63,2.01,44,3.19,22,20,250
12,11.125,Pioneer Electronics,TS-W310D4,267-2507,4+4,400,95,10.8,37,1.21,0.77,3.43,39,4.58,22,20,250
12,11,Pioneer Electronics,TS-W3002D2,267-2508,2+2,1000,90,12.3,30,0.46,0.55,0.4,43,0.88,21,20,150
12,11,Pioneer Electronics,TS-W3002D4,267-2509,4+4,1000,90,12.9,31.4,0.46,0.65,0.87,38,1.23,20,20,150
8,7.375,Pioneer Electronics,TS-SW841D,267-2510,4,120,85,3.5,67.5,0.06,1.64,0.07,63,0.97,35,30,1500
10,9.375,Pioneer Electronics,TS-SW2501S2,267-2512,2,300,90,7,44.4,0.32,1,0.71,41,1.99,25,20,290
12,11,Pioneer Electronics,TS-SW3001S2,267-2515,2,400,93,8.4,36.8,0.634,0.82,1.76,37,2.68,21,20,230
10,9.13,Kenwood,KFC-W2513PS,267-4354,4,300,82,5.3,31,1.5,0.54,1.22,45,2.82,22,39,300
12,11,Kenwood,KFC-W12PS,267-4355,4,250,85,7.35,33,2.03,0.57,1.96,46,4.17,23,36,300
12,11,Kenwood,KFC-W3013PS,267-4356,4,400,85,15.1,25,2.96,0.82,6.85,26,12.43,15,34,300
12,10.875,Kenwood,KFC-W12DVC,267-4357,4+4,250,85,7.35,29,2.37,0.6,2.85,39,5.42,19,36,300
8,6.9375,Kicker,C84,267-6901,4,100,85.6,8.6,40,0.65,0.54,0.51,59,1.19,28,30,500
10,9.13,Kicker,C102,267-6903,2,150,86.2,9.6,33,1.65,0.59,1.86,44,3.65,22,30,500
10,9.13,Kicker,C104,267-6904,4,150,86.2,9.6,33,1.65,0.59,2,44,3.79,22,30,500
12,11,Kicker,C122,267-6906,2,150,88.3,9.6,30,3.36,0.559,2.98,43,6.68,21,27,500
12,11,Kicker,C124,267-6907,4,150,88.3,9.6,30,3.36,0.56,2.98,43,6.68,21,27,500
12,11,Kicker,C12D4,267-6909,4+4,200,88.3,9.6,27,3.36,0.56,2.98,43,6.68,21,27,500
15,13.6875,Kicker,C152,267-6910,2,250,90.3,11.4,23,7.99,0.4,2.57,46,6.47,25,25,500
